RegionName,lockdown
Alabama,175.12
Alaska,293.77
Arizona,255.13
Arkansas,260.2
California,364.2
Colorado,306.5
Connecticut,386.18
Delaware,344.07
Florida,200.96
Georgia,269.21
Hawaii,403.36
Idaho,192.49
Illinois,269.4
Indiana,229.01
Iowa,216.84
Kansas,260.69
Kentucky,6
Louisiana,275.9
Maine,228.76
Maryland,307.1
Massachusetts,292.32
Michigan,262.68
Minnesota,291.48
Mississippi,7
Missouri,263.07
Montana,227.87
Nebraska,251.74
Nevada,219.08
New Hampshire,92.43
New Jersey,302.01
New Mexico,336.52
New York,383.93
North Carolina,354.5
North Dakota,154.68
Ohio,284.78
Oklahoma,206.36
Oregon,329.39
Pennsylvania,305.28
Rhode Island,314.1
South Carolina,236.71
South Dakota,80.02
Tennessee,240.31
Texas,233.95
Utah,95.06
Vermont,386.52
Virginia,282.68
Washington,358.26
Washington DC,313.21
West Virginia,227.75
Wisconsin,263.24
Wyoming,231.38
,
,
,
,
,
