"","State","Mobility"
"1","Alabama",-81.4769230769231
"2","Alaska",-82.1129032258064
"3","Arizona",-88.230563002681
"4","Arkansas",-69.4450867052023
"5","California",-130.800990916598
"6","Colorado",-107.3981264637
"7","Connecticut",-93.6649746192893
"8","Delaware",-101
"9","District of Columbia",-240.451612903226
"10","Florida",-97.8651079136691
"11","Georgia",-93.4066455696203
"12","Hawaii",-198.167741935484
"13","Idaho",-36.5411764705882
"14","Illinois",-118.776617954071
"15","Indiana",-76.8145539906103
"16","Iowa",-84.9954128440367
"17","Kansas",-86.9523809523809
"18","Kentucky",-97.2686567164179
"19","Louisiana",-102.063725490196
"20","Maine",-77.6948051948052
"21","Maryland",-116.58495821727
"22","Massachusetts",-127.785515320334
"23","Michigan",-96.5378151260504
"24","Minnesota",-118.381679389313
"25","Mississippi",-70.7373271889401
"26","Missouri",-83.183908045977
"27","Montana",-48.7556818181818
"28","Nebraska",-95.1451612903226
"29","Nevada",-127.681415929204
"30","New Hampshire",-77.5076923076923
"31","New Jersey",-109.886597938144
"32","New Mexico",-123.631756756757
"33","New York",-123.974530831099
"34","North Carolina",-95.0236220472441
"35","North Dakota",-73.021978021978
"36","Ohio",-80.038112522686
"37","Oklahoma",-75.6553398058252
"38","Oregon",-84.4575892857143
"39","Pennsylvania",-98.6995708154506
"40","Rhode Island",-101.109375
"41","South Carolina",-75.4246575342466
"42","South Dakota",-20.3118279569892
"43","Tennessee",-81.5611510791367
"44","Texas",-90.9396325459318
"45","Utah",-74.3969465648855
"46","Vermont",-132.306451612903
"47","Virginia",-126.91637630662
"48","Washington",-84.2735507246377
"49","West Virginia",-108.952755905512
"50","Wisconsin",-86.0508982035928
"51","Wyoming",-67.8709677419355
